CPT,Description,Total RVU,Office Self Pay,Insurance A,Insurance B,Insurance C
99213,Established patient office visit,1.3,100,80,70,90
99214,Established patient office visit,1.5,120,95,85,110
99203,New patient office visit,1.6,150,120,110,130
99204,New patient office visit,2.0,200,160,140,180
99205,New patient office visit,2.5,250,200,180,220
99395,Periodic comprehensive preventive medicine,2.0,150,120,110,140
99396,Periodic comprehensive preventive medicine,2.5,180,150,130,160
99397,Periodic comprehensive preventive medicine,3.0,200,170,150,190
36415,Collection of venous blood by venipuncture,0.5,30,25,20,28
93000,Electrocardiogram,0.8,50,40,35,45
93010,Interpretation of ECG,0.5,40,30,25,35
80050,General health panel,1.0,100,80,70,90
85025,Complete blood count,0.7,60,50,45,55
85027,Complete blood count with differential,0.9,70,60,55,65
71045,Chest X-ray,1.2,120,100,90,110
71046,Chest X-ray,1.5,150,120,110,130
99232,Subsequent hospital care,1.4,180,150,130,160
99233,Subsequent hospital care,1.8,220,180,160,200
99354,Prolonged service in the office,1.0,100,80,70,90
99355,Prolonged service in the office,0.5,50,40,35,45
90791,Psychiatric diagnostic evaluation,2.0,200,160,140,180
90792,Psychiatric diagnostic evaluation with medical services,2.5,250,200,180,220
96127,Brief emotional/behavioral assessment,0.5,40,30,25,35
96130,Clinical assessment of mental health,1.5,150,120,110,130
96131,Clinical assessment of mental health,1.8,180,150,130,160
99381,Initial comprehensive preventive medicine,2.0,150,120,110,140
99382,Initial comprehensive preventive medicine,2.5,180,150,130,160
99383,Initial comprehensive preventive medicine,3.0,200,170,150,190
93000,Electrocardiogram,0.8,50,40,35,45
93010,Interpretation of ECG,0.5,40,30,25,35
80061,Lipid panel,1.0,100,80,70,90
85025,Complete blood count,0.7,60,50,45,55
85027,Complete blood count with differential,0.9,70,60,55,65
71045,Chest X-ray,1.2,120,100,90,110
71046,Chest X-ray,1.5,150,120,110,130
99232,Subsequent hospital care,1.4,180,150,130,160
99233,Subsequent hospital care,1.8,220,180,160,200
99354,Prolonged service in the office,1.0,100,80,70,90
99355,Prolonged service in the office,0.5,50,40,35,45
90791,Psychiatric diagnostic evaluation,2.0,200,160,140,180
90792,Psychiatric diagnostic evaluation with medical services,2.5,250,200,180,220
96127,Brief emotional/behavioral assessment,0.5,40,30,25,35
96130,Clinical assessment of mental health,1.5,150,120,110,130
96131,Clinical assessment of mental health,1.8,180,150,130,160
99381,Initial comprehensive preventive medicine,2.0,150,120,110,140
99382,Initial comprehensive preventive medicine,2.5,180,150,130,160